Georgia,District,Name,Party,Committee Assignment,
Georgia,1st,"Carter, Earl",R,Budget|Energy and Commerce,
Georgia,2nd,"Bishop, Sanford",D,Agriculture|Appropriations,
Georgia,3rd,"Ferguson, A.",R,Budget|Ways and Means,
Georgia,4th,"Johnson, Henry",D,Judiciary|Transportation and Infrastructure,
Georgia,5th,"Williams, Nikema",D,Financial Services,
Georgia,6th,"McCormick, Richard",R,"Armed Services|Foreign Affairs|Science, Space, and Technology|Select Subcommittee on the Coronavirus Pandemic",
Georgia,7th,"McBath, Lucy",D,Education and the Workforce|Judiciary,
Georgia,8th,"Scott, Austin",R,Agriculture|Armed Services|Intelligence,
Georgia,9th,"Clyde, Andrew",R,Appropriations,
Georgia,10th,"Collins, Mike",R,"Natural Resources|Transportation and Infrastructure|Science, Space, and Technology",
Georgia,11th,"Loudermilk, Barry",R,Financial Services|House Administration,
Georgia,12th,"Allen, Rick",R,Education and the Workforce|Energy and Commerce,
Georgia,13th,"Scott, David",D,Agriculture|Financial Services,
Georgia,14th,"Greene, Marjorie",R,Oversight and Accountability|Homeland Security|Select Subcommittee on the Coronavirus Pandemic,
Guam,Guam,,,,
Guam,District,Name,Party,Committee Assignment,
Guam,Delegate,"Moylan, James",R,Armed Services|Natural Resources,
Hawaii,Hawaii,,,,
Hawaii,District,Name,Party,Committee Assignment,
Hawaii,1st,"Case, Ed",D,Appropriations|Natural Resources,
Hawaii,2nd,"Tokuda, Jill",D,Agriculture|Armed Services|Select Subcommittee on the Coronavirus Pandemic,
Idaho,Idaho,,,,
Idaho,District,Name,Party,Committee Assignment,
Idaho,1st,"Fulcher, Russ",R,Energy and Commerce|Natural Resources,
Idaho,2nd,"Simpson, Michael",R,Appropriations,
Illinois,Illinois,,,,
Illinois,District,Name,Party,Committee Assignment,
Illinois,1st,"Jackson, Jonathan",D,Agriculture|Foreign Affairs,
Illinois,2nd,"Kelly, Robin",D,Energy and Commerce,
Illinois,3rd,"Ramirez, Delia",D,Homeland Security|Veterans' Affairs,
Illinois,4th,"Garcia, Jesus",D,Transportation and Infrastructure,
Illinois,5th,"Quigley, Mike",D,Appropriations,
Illinois,6th,"Casten, Sean",D,"Financial Services|Science, Space, and Technology",
Illinois,7th,"Davis, Danny",D,Ways and Means,
Illinois,8th,"Krishnamoorthi, Raja",D,Oversight and Accountability|Intelligence|Select Comm on the Strategic Competition US and China,
Illinois,9th,"Schakowsky, Janice",D,Budget|Energy and Commerce,
Illinois,10th,"Schneider, Bradley",D,Foreign Affairs|Ways and Means,
Illinois,11th,"Foster, Bill",D,Financial Services,
Illinois,12th,"Bost, Mike",R,Agriculture|Transportation and Infrastructure|Veterans' Affairs,
Illinois,13th,"Budzinski, Nikki",D,Agriculture|Veterans' Affairs,
Illinois,14th,"Underwood, Lauren",D,Appropriations,
Illinois,15th,"Miller, Mary",R,Agriculture|Education and the Workforce,
Illinois,16th,"LaHood, Darin",R,Intelligence|Ways and Means|Select Comm on the Strategic Competition US and China,
Illinois,17th,"Sorensen, Eric",D,"Agriculture|Science, Space, and Technology",
Indiana,Indiana,,,,
Indiana,District,Name,Party,Committee Assignment,
Indiana,1st,"Mrvan, Frank",D,Education and the Workforce|Veterans' Affairs,
Indiana,2nd,"Yakym, Rudy",R,Budget|Transportation and Infrastructure,
Indiana,3rd,"Banks, Jim",R,Armed Services|Education and the Workforce|Select Comm on the Strategic Competition US and China,
Indiana,4th,"Baird, James",R,"Agriculture|Foreign Affairs|Science, Space, and Technology",
Indiana,5th,"Spartz, Victoria",R,Judiciary,
Indiana,6th,"Pence, Greg",R,Energy and Commerce,
Indiana,7th,"Carson, Andre",D,Intelligence|Transportation and Infrastructure|Select Comm on the Strategic Competition US and China,
Indiana,8th,"Bucshon, Larry",R,Energy and Commerce,
Indiana,9th,"Houchin, Erin",R,Financial Services|Education and the Workforce|Rules,
Iowa,Iowa,,,,
Iowa,District,Name,Party,Committee Assignment,
Iowa,1st,"Miller-Meeks, Mariannette",R,Energy and Commerce|Select Subcommittee on the Coronavirus Pandemic|Veterans' Affairs,
Iowa,2nd,"Hinson, Ashley",R,Appropriations|Select Comm on the Strategic Competition US and China,
Iowa,3rd,"Nunn, Zachary",R,Agriculture|Financial Services,
Iowa,4th,"Feenstra, Randy",R,Agriculture|Ways and Means,
Kansas,Kansas,,,,
Kansas,District,Name,Party,Committee Assignment,
Kansas,1st,"Mann, Tracey",R,Agriculture|Transportation and Infrastructure|Small Business,
Kansas,2nd,"LaTurner, Jake",R,Appropriations|Oversight and Accountability,
Kansas,3rd,"Davids, Sharice",D,Agriculture|Transportation and Infrastructure|Small Business,
